Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,26,482,4.85,1.68,3.36,1.59,-0.09,0.19,6.72,21.1,29.5,4.67,1172.8,7.1,422.93,16.8,1.31,1.12,18.07,1,69.28,31.85,7.8,22.71
Guglielmo Vicario,ITA,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,29,1800,4.2,1.25,2.95,1.38,0.12,0.4,4.4,13.45,36.3,4.65,1167.86,4.45,175.64,12.45,0.65,2.05,38.65,1,70.24,32.71,5.22,23.08
Guillaume Restes,FRA,Toulouse,French Ligue 1,GK,Goalkeeper,20,1350,3.07,1.27,1.8,1.17,-0.1,0.33,4.8,12.27,24.67,3.13,840.51,4.07,187.37,13.73,1.07,0.93,15.98,1,58.63,39.12,7.79,22.35
Hendrik Bonmann,GER,Ludogorets,UEFA Europa League,GK,Goalkeeper,31,180,6.5,2.5,4.0,2.6,0.1,0.0,6.5,22.0,43.0,4.5,1398.3,9.5,489.65,16.0,2.0,0.0,0.0,1,61.54,29.55,12.5,24.62
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa League,GK,Goalkeeper,32,450,3.8,1.0,2.6,1.2,0.2,0.4,4.8,12.4,34.2,2.4,1066.16,3.6,130.44,15.0,0.4,0.2,3.08,1,68.42,38.71,2.67,21.61
Henry Bonello,MLT,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,37,360,5.75,1.5,4.25,1.42,-0.08,0.0,4.5,11.75,27.25,4.5,960.9,5.5,210.82,10.0,0.75,0.75,13.75,1,73.91,38.3,7.5,18.25
Hervé Koffi,BFA,Angers,French Ligue 1,GK,Goalkeeper,29,1260,5.29,1.07,4.07,1.61,0.54,0.36,3.43,11.86,28.29,5.29,940.74,6.57,238.69,15.93,1.79,0.71,9.71,1,76.94,28.92,11.24,23.42
Ionuț Radu,ROU,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,1620,4.5,1.28,3.22,1.2,-0.08,0.11,2.67,8.94,20.94,5.0,654.27,7.11,284.37,13.39,0.56,0.67,11.65,1,71.56,29.87,4.18,19.08
Ivan Filipović,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,31,90,9.0,4.0,5.0,3.7,-0.3,0.0,2.0,9.0,39.0,7.0,932.1,5.0,235.0,11.0,0.0,1.0,12.3,1,55.56,22.22,0.0,22.84
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,27,360,3.0,1.5,1.75,0.8,-0.7,0.0,4.5,13.25,44.5,3.25,1186.45,4.0,160.32,11.75,0.75,2.0,37.52,1,58.33,33.96,6.38,15.56
Ivan Provedel,ITA,Lazio,Italian Serie A,GK,Goalkeeper,31,1260,4.5,0.79,3.71,1.21,0.42,0.5,4.36,12.93,31.14,3.93,1068.49,5.0,207.01,12.5,0.71,0.71,16.84,1,82.44,33.72,5.68,22.17
Iván Villar,ESP,Celta Vigo,UEFA Europa League,GK,Goalkeeper,28,180,4.5,1.5,3.0,1.3,-0.2,0.5,1.0,5.5,23.5,5.0,571.15,3.5,171.5,12.0,0.0,1.0,20.3,1,66.67,18.18,0.0,19.26
Iñaki Peña,ESP,Elche,Spanish La Liga,GK,Goalkeeper,26,810,4.44,1.22,3.22,1.58,0.36,0.33,3.56,15.33,57.22,4.22,1616.5,3.78,130.82,14.67,0.56,2.0,37.28,1,72.52,23.22,3.82,25.81
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,32,450,5.0,1.8,3.0,1.82,0.02,0.0,7.0,14.8,30.0,4.4,1090.84,3.2,161.82,9.4,0.4,2.0,41.26,1,60.0,47.3,4.26,21.84
Jakub Markovič,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,24,180,6.5,1.5,5.0,2.35,0.85,0.5,9.5,21.0,25.0,1.5,1042.1,8.0,414.05,10.0,0.5,2.0,31.1,1,76.92,45.24,5.0,27.81
James Trafford,ENG,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,23,360,4.25,1.5,2.75,1.78,0.28,0.25,2.5,9.5,30.5,3.25,875.15,3.75,168.68,8.25,0.5,4.25,90.98,1,64.71,26.32,6.06,27.1
Jan Koutny,CZE,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,21,360,4.0,1.25,2.75,1.32,0.08,0.0,3.75,14.5,22.0,2.75,842.58,7.5,372.4,13.5,0.5,1.5,26.18,1,68.75,25.86,3.7,22.69
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,1710,3.32,1.26,2.05,1.15,-0.12,0.26,5.32,12.11,25.68,4.05,813.05,7.47,352.04,12.42,0.89,1.0,18.65,1,61.75,43.93,7.17,21.39
Jari De Busser,BEL,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,26,450,7.8,1.8,6.0,2.36,0.56,0.0,3.6,13.4,36.8,3.8,1185.52,5.8,313.7,18.2,0.6,0.6,12.7,1,76.92,26.87,3.3,23.27
Jaylan Hankins,GIB,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,25,270,7.0,1.67,5.33,1.23,-0.43,0.0,6.0,21.67,24.67,5.0,1101.93,8.33,478.63,19.33,1.33,0.33,4.0,1,76.14,27.69,6.88,13.38
