Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J7,Feyenoord,Bayern Munich,3–0,"43,106",Stadion Feijenoord,François Letexier,2025-01-22,https://fbref.com/en/matches/24be9d81/Feyenoord-Bayern-Munich-January-22-2025-Champions-League
J8,Manchester City,Club Brugge,3–1,"51,237",Etihad Stadium,Jose Maria Sánchez,2025-01-29,https://fbref.com/en/matches/85437667/Manchester-City-Club-Brugge-January-29-2025-Champions-League
J8,Aston Villa,Celtic,4–2,"42,824",Villa Park,Clément Turpin,2025-01-29,https://fbref.com/en/matches/25e58fe8/Aston-Villa-Celtic-January-29-2025-Champions-League
J8,Sporting CP,Bologna,1–1,"37,328",Estádio José Alvalade,Benoît Bastien,2025-01-29,https://fbref.com/en/matches/49c46c78/Sporting-CP-Bologna-January-29-2025-Champions-League
J8,Bayern Munich,Slovan Bratislava,3–1,"75,000",Allianz Arena,João Pinheiro,2025-01-29,https://fbref.com/en/matches/e44e7126/Bayern-Munich-Slovan-Bratislava-January-29-2025-Champions-League
J8,Juventus,Benfica,0–2,"41,402",Allianz Stadium,István Kovács,2025-01-29,https://fbref.com/en/matches/2505e711/Juventus-Benfica-January-29-2025-Champions-League
J8,Barcelona,Atalanta,2–2,"42,728",Estadi Olímpic Lluís Companys,Michael Oliver,2025-01-29,https://fbref.com/en/matches/7fd1f0e9/Barcelona-Atalanta-January-29-2025-Champions-League
J8,Dortmund,Shakhtar,3–1,"81,365",Signal Iduna Park,Glenn Nyberg,2025-01-29,https://fbref.com/en/matches/6afd7012/Dortmund-Shakhtar-Donetsk-January-29-2025-Champions-League
J8,Brest,Real Madrid,0–3,"15,405",Stade du Roudourou,Espen Eskås,2025-01-29,https://fbref.com/en/matches/12d6e866/Brest-Real-Madrid-January-29-2025-Champions-League
J8,PSV Eindhoven,Liverpool,3–2,"35,000",Philips Stadion,Tobias Stieler,2025-01-29,https://fbref.com/en/matches/9c6b4eca/PSV-Eindhoven-Liverpool-January-29-2025-Champions-League
