Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Javier Otero,VEN,Goalkeeper,Orlando City,22.0,2002,2,2,180,1.0,3.5,2.5,0.0,0.5,0.5,0.0,0.0,1.3,2.5,4.5,16.0,5.0,5.5,19.5,2.0,0.5,0.0,-1.0,0.5,71.43,0.0,200.0,0.0
Jayden Hibbert,JAM,Goalkeeper,Atlanta Utd,20.0,2004,1,1,90,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,7.0,43.0,4.0,5.0,11.0,1.0,2.0,0.0,-1.0,1.0,80.0,0.0,100.0,0.0
Jeffrey Gal,USA,Goalkeeper,Chicago Fire,32.0,1993,7,6,591,1.37,2.89,1.68,0.15,0.15,0.15,0.0,0.0,0.94,2.89,7.92,22.69,4.11,6.24,11.12,1.07,0.46,0.0,-1.37,0.15,58.13,0.0,107.0,0.0
Jesús Camargo,VEN,Goalkeeper,ve Dep Táchira,27.0,1997,6,6,540,1.83,6.17,4.33,0.0,0.0,0.0,0.0,0.0,1.85,3.67,10.83,22.67,5.0,9.17,18.0,0.67,2.5,0.0,-1.83,0.17,70.18,0.0,67.0,0.0
Jimmy Maurer,USA,Goalkeeper,Houston Dynamo,36.0,1988,2,1,120,0.75,3.75,3.0,0.0,0.0,0.0,0.0,0.0,0.6,4.5,15.0,27.0,3.0,4.5,12.0,0.75,0.75,0.0,-0.75,0.75,80.0,0.0,75.0,0.0
Joe Willis,USA,Goalkeeper,Nashville SC,36.0,1988,25,25,2250,1.04,3.64,2.56,0.36,0.16,0.08,0.08,0.0,1.14,3.2,8.8,28.16,5.32,5.28,12.28,1.04,0.56,0.08,-1.04,0.04,70.33,0.0,104.0,0.0
John,BRA,Goalkeeper,br Botafogo (RJ),29.0,1996,21,21,1890,0.62,3.43,2.76,0.52,0.05,0.05,0.0,0.0,0.84,4.1,10.24,28.52,3.43,5.24,14.29,0.76,0.76,0.0,-0.62,0.1,80.47,0.0,76.0,0.0
John McCarthy,USA,Goalkeeper,LA Galaxy,33.0,1992,11,11,990,2.36,5.09,2.82,0.0,0.36,0.27,0.09,0.0,1.82,2.45,11.18,22.27,4.18,4.91,12.27,0.73,0.82,0.09,-2.36,0.09,55.4,0.0,73.0,0.0
John Pulskamp,USA,Goalkeeper,Sporting KC,24.0,2001,24,24,2160,1.88,5.29,3.5,0.12,0.29,0.25,0.0,0.04,1.75,4.54,16.75,21.54,3.42,8.5,13.29,0.67,0.79,0.04,-1.88,0.04,66.16,0.0,67.0,0.0
Jonathan Bond,ENG,Goalkeeper,Houston Dynamo,32.0,1993,16,16,1440,1.69,4.12,2.38,0.31,0.12,0.06,0.06,0.0,1.33,3.56,9.44,26.62,4.38,3.88,11.44,0.44,1.5,0.06,-1.69,0.06,57.77,0.0,44.0,0.0
Jonathan Sirois,CAN,Goalkeeper,CF Montréal,24.0,2001,22,22,1980,1.68,4.95,3.27,0.18,0.0,0.0,0.0,0.0,1.52,3.64,9.86,35.14,4.14,4.09,9.45,0.68,1.18,0.0,-1.68,0.05,66.06,0.0,68.0,0.0
Jorge Broun,ARG,Goalkeeper,Rosario Central,39.0,1986,17,17,1530,0.53,3.18,2.71,0.53,0.0,0.0,0.0,0.0,0.72,5.41,11.29,18.24,4.29,9.47,16.88,0.59,0.06,0.0,-0.53,0.06,85.22,0.0,59.0,0.0
Jorge Carranza,ARG,Goalkeeper,Aldosivi,44.0,1981,15,15,1350,1.47,4.33,2.87,0.27,0.2,0.2,0.0,0.0,1.13,5.0,12.27,20.07,4.2,6.33,15.87,0.8,0.73,0.0,-1.47,0.07,66.28,0.0,80.0,0.0
Josue Reinatti,ARG,Goalkeeper,Newell's OB,22.0,2003,2,2,180,2.0,7.0,5.0,0.0,0.5,0.5,0.0,0.0,2.3,3.5,5.5,27.5,10.0,3.0,16.5,1.5,0.5,0.0,-2.0,0.5,71.43,0.0,150.0,0.0
José Contreras Verna,VEN,Goalkeeper,ec Barcelona,30.0,1994,5,5,396,0.91,4.77,3.64,0.45,0.23,0.0,0.23,0.0,1.34,3.64,14.32,17.5,3.41,10.0,14.09,1.59,0.0,0.23,-0.91,0.23,76.31,0.0,159.0,0.0
João Ricardo Riedi,BRA,Goalkeeper,br Fortaleza,36.0,1988,18,18,1620,1.28,5.11,3.83,0.44,0.11,0.06,0.06,0.0,1.55,4.5,11.67,19.78,4.56,6.83,12.39,0.94,1.06,0.06,-1.28,0.11,74.95,0.0,94.0,0.0
