Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Antonio Sivera,J3,GK,Goalkeeper,Alavés,Spanish La Liga,90,7.04,29,ESP
Jan Oblak,J3,GK,Goalkeeper,Atlético Madrid,Spanish La Liga,90,6.44,32,SVN
Aarón Escandell,J3,GK,Goalkeeper,Oviedo,Spanish La Liga,90,7.35,29,ESP
Álex Remiro,J3,GK,Goalkeeper,Real Sociedad,Spanish La Liga,90,6.09,30,ESP
Paulo Gazzaniga,J3,GK,Goalkeeper,Girona,Spanish La Liga,90,5.88,33,ARG
Ørjan Nyland,J3,GK,Goalkeeper,Sevilla,Spanish La Liga,90,7.37,34,NOR
Thibaut Courtois,J3,GK,Goalkeeper,Real Madrid,Spanish La Liga,90,6.26,33,BEL
Leo Román,J3,GK,Goalkeeper,Mallorca,Spanish La Liga,90,6.43,25,ESP
Łukasz Skorupski,J2,GK,Goalkeeper,Bologna,Italian Serie A,90,6.57,34,POL
Jean Butez,J2,GK,Goalkeeper,Como,Italian Serie A,90,6.32,30,FRA
Ionuț Radu,J3,GK,Goalkeeper,Celta Vigo,Spanish La Liga,90,6.49,28,ROU
Luiz Lúcio Reis Júnior,J3,GK,Goalkeeper,Villarreal,Spanish La Liga,90,6.09,24,BRA
Álvaro Vallés,J3,GK,Goalkeeper,Betis,Spanish La Liga,90,6.03,28,ESP
Unai Simón,J3,GK,Goalkeeper,Athletic Club,Spanish La Liga,90,6.39,28,ESP
Marko Dmitrović,J3,GK,Goalkeeper,Espanyol,Spanish La Liga,90,7.04,33,SRB
Sergio Herrera,J3,GK,Goalkeeper,Osasuna,Spanish La Liga,90,6.93,32,ESP
Augusto Batalla,J3,GK,Goalkeeper,Rayo Vallecano,Spanish La Liga,90,6.53,29,ARG
Joan García,J3,GK,Goalkeeper,Barcelona,Spanish La Liga,90,6.86,24,ESP
Ørjan Nyland,J4,GK,Goalkeeper,Sevilla,Spanish La Liga,90,5.64,35,NOR
Matías Dituro,J4,GK,Goalkeeper,Elche,Spanish La Liga,90,6.07,38,ARG
David Soria,J4,GK,Goalkeeper,Getafe,Spanish La Liga,90,6.85,32,ESP
Aarón Escandell,J4,GK,Goalkeeper,Oviedo,Spanish La Liga,90,5.9,29,ESP
Álex Remiro,J4,GK,Goalkeeper,Real Sociedad,Spanish La Liga,90,6.75,30,ESP
Thibaut Courtois,J4,GK,Goalkeeper,Real Madrid,Spanish La Liga,90,6.68,33,BEL
