Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches
Gerónimo Rulli,ARG,Marseille,French Ligue 1,GK,Goalkeeper,32,2610,118.0,40.0,77.0,40.9,0.9,4,83.0,189.0,973.0,116.0,23837.9,95.0,3249.1,274.0,25.0,48.0,1012.3,1
Gianluigi Donnarumma,ITA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,26,3171,115.0,38.0,78.0,35.9,-2.5,8,70.0,216.0,824.0,139.0,21993.0,164.0,5253.5,326.0,21.0,27.0,439.6,1
Giorgi Mamardashvili,GEO,Valencia,Spanish La Liga,GK,Goalkeeper,24,2790,119.0,47.0,74.0,40.9,-6.1,6,126.0,395.0,772.0,122.0,26421.2,191.0,9455.8,418.0,27.0,35.0,710.9,1
Giuseppe Ciocci,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,23,9,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,21.0,1
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,27,3690,169.0,60.0,110.0,59.4,-0.6,9,142.0,431.0,1386.0,164.0,39878.1,152.0,6476.3,505.0,25.0,58.0,1099.7,1
Grégoire Coudert,FRA,Brest,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,26,270,22.0,12.0,11.0,8.5,-3.5,0,13.0,40.0,89.0,16.0,2934.3,16.0,798.8,38.0,3.0,5.0,93.9,1
Guglielmo Vicario,ITA,Tottenham,"English Premier League, UEFA Europa League",GK,Goalkeeper,28,2790,128.0,41.0,90.0,42.9,1.9,7,55.0,175.0,952.0,138.0,23651.2,111.0,3379.4,417.0,40.0,29.0,439.8,1
Guillaume Restes,FRA,Toulouse,French Ligue 1,GK,Goalkeeper,20,2543,92.0,36.0,58.0,27.9,-8.8,8,80.0,286.0,675.0,83.0,20478.0,135.0,5781.1,360.0,5.0,34.0,682.0,1
Günay Güvenç,NAN,Galatasaray,UEFA Europa League,GK,Goalkeeper,33,360,25.0,8.0,17.0,9.6,1.6,0,14.0,25.0,128.0,15.0,3400.3,17.0,427.2,36.0,2.0,6.0,98.8,1
Hendrik Bonmann,GER,Ludogorets,UEFA Europa League,GK,Goalkeeper,31,360,24.0,4.0,20.0,6.7,2.7,2,27.0,79.0,167.0,20.0,5612.6,33.0,1593.1,77.0,7.0,3.0,44.4,1
Heorhiy Bushchan,UKR,Dynamo Kyiv,UEFA Europa League,GK,Goalkeeper,30,450,44.0,14.0,29.0,14.5,0.5,0,25.0,76.0,167.0,28.0,5984.4,19.0,987.0,70.0,3.0,4.0,64.0,1
Hervé Koffi,BFA,Lens,French Ligue 1,GK,Goalkeeper,28,450,26.0,8.0,18.0,11.0,3.0,0,14.0,42.0,115.0,22.0,3822.1,19.0,692.2,53.0,4.0,2.0,21.6,1
Hákon Rafn Valdimarsson,ISL,Brentford,English Premier League,GK,Goalkeeper,23,145,4.0,2.0,3.0,0.5,-1.5,1,15.0,38.0,54.0,7.0,1883.7,16.0,947.8,16.0,2.0,0.0,0.0,1
Ingvar Jónsson,ISL,KV,UEFA Europa Conference League,GK,Goalkeeper,35,630,35.0,10.0,25.0,12.4,2.4,2,36.0,102.0,233.0,24.0,7847.3,34.0,1452.7,111.0,4.0,18.0,328.8,1
