Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Giacomo Poluzzi,ITA,Goalkeeper,Südtirol,,1988,18,18,1620,29,71,42,4,4,2,1,1,25.4,138,318,412,68,149,323,17,20,2,-3.6000000000000014
Giacomo Satalino,ITA,Goalkeeper,Sassuolo,,1999,10,10,900,10,39,29,4,0,0,0,0,11.4,46,118,206,36,52,171,10,2,0,1.4000000000000004
Gil Alcalá,MEX,Goalkeeper,UNAM,,1992,4,4,360,2,7,5,3,0,0,0,0,1.8,19,40,129,31,18,43,1,6,0,-0.19999999999999996
Gonzalo Valle,ECU,Goalkeeper,ec LDU de Quito,29.0,1996,6,6,526,4,28,24,3,0,0,0,0,7.5,29,80,165,23,62,111,5,2,0,3.5
Guido Herrera,ARG,Goalkeeper,ar Talleres,33.0,1992,21,21,1845,23,67,46,6,1,1,0,0,23.0,112,280,551,66,110,270,19,14,0,-1.7763568394002505e-15
Guido Villar,ARG,Goalkeeper,ec Independiente,27.0,1998,6,6,540,11,29,18,1,2,1,1,0,8.8,19,46,110,18,39,85,2,5,1,-2.1999999999999993
Guillaume Dietsch,FRA,Goalkeeper,Dender,,2001,1,0,49,1,2,1,0,0,0,0,0,0.8,0,1,5,2,0,2,0,0,0,-0.19999999999999996
Guillermo Allison,MEX,Goalkeeper,Querétaro,,1990,25,25,2250,42,131,87,5,7,5,2,0,39.8,145,423,477,84,263,414,23,26,2,-2.200000000000003
Guillermo Ochoa,MEX,Goalkeeper,AVS Futebol,,1985,23,23,2070,45,118,74,6,1,1,0,0,39.4,128,293,486,90,219,378,8,16,0,-5.600000000000001
Guillermo Vizcarra,BOL,Goalkeeper,pe Alianza Lima,32.0,1993,6,6,540,11,29,18,0,2,2,0,0,6.8,36,87,118,33,55,88,5,3,0,-4.2
