Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Simão Bertelli,BRA,Goalkeeper,AVS Futebol,0.0,1993,11,11,990,1.36,5.18,3.73,0.18,0.27,0.18,0.09,0.0,1.92,5.45,14.0,26.82,4.09,7.45,13.64,0.73,0.73,0.09,0.55,72.01,38.93,5.35
Sinan Bolat,TUR,Goalkeeper,Westerlo,0.0,1988,11,11,990,1.82,5.64,3.82,0.09,0.18,0.18,0.0,0.0,1.77,5.36,15.27,29.36,4.27,7.18,15.0,0.64,1.09,0.0,-0.05,67.73,35.1,4.27
Solomon Brynn,ENG,Goalkeeper,Middlesbrough,0.0,2000,6,6,509,1.59,4.42,2.83,0.18,0.0,0.0,0.0,0.0,1.66,1.77,6.72,24.75,5.3,5.13,13.61,1.77,0.88,0.0,0.07,64.03,26.34,13.01
Stefan Frei,SUI,Goalkeeper,Seattle Sounders,39.0,1986,18,18,1620,1.11,3.56,2.56,0.33,0.17,0.17,0.0,0.0,1.03,3.06,9.72,22.17,3.89,6.61,11.11,0.56,0.56,0.0,-0.08,71.91,31.48,5.04
Stefano Gori,ITA,Goalkeeper,Spezia,0.0,1996,23,23,2070,0.83,3.39,2.65,0.52,0.04,0.04,0.0,0.0,0.86,5.87,13.74,22.39,4.04,5.26,12.74,0.61,0.78,0.0,0.03,78.17,42.72,4.79
Stijn van Gassel,NED,Goalkeeper,NEC Nijmegen,0.0,1996,2,2,180,2.0,7.5,5.5,0.0,0.5,0.5,0.0,0.0,2.25,2.0,18.0,30.0,8.5,11.0,25.5,1.0,1.5,0.0,0.25,73.33,11.11,3.92
Thiago Cardozo,URU,Goalkeeper,Unión,28.0,1996,17,17,1526,1.0,3.42,2.42,0.29,0.18,0.12,0.0,0.06,1.05,3.66,11.62,18.28,4.36,7.02,13.92,0.65,0.35,0.06,0.05,70.76,31.5,4.67
Thomas Didillon,FRA,Goalkeeper,Willem II,0.0,1995,34,34,3060,1.65,5.32,3.76,0.15,0.18,0.18,0.0,0.0,1.79,7.03,18.26,26.62,3.76,8.18,18.24,1.06,0.32,0.0,0.14,70.68,38.5,5.81
Thomas Hasal,CAN,Goalkeeper,LAFC,26.0,1999,1,1,90,5.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,2.9,1.0,7.0,26.0,8.0,6.0,11.0,2.0,0.0,0.0,-2.1,44.44,14.29,18.18
Thomas Kaminski,BEL,Goalkeeper,Luton Town,0.0,1992,45,45,3990,1.53,4.35,2.82,0.23,0.07,0.05,0.02,0.0,1.36,8.44,23.08,27.14,2.71,7.85,13.76,0.56,1.62,0.02,-0.17,64.83,36.57,4.07
