Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Brice Samba,FRA,Rennes,French Ligue 1,GK,Goalkeeper,31,540,60,51,62,69,77,69,55,59,94,63,91,54,35,77,68,38,60,1,50,47,60,80
Caoimhín Kelleher,IRL,Brentford,English Premier League,GK,Goalkeeper,26,540,53,26,37,55,16,46,90,79,57,71,62,58,77,58,47,32,30,1,20,79,44,33
Daniel Heuer Fernandes,POR,Hamburger SV,German Bundesliga,GK,Goalkeeper,32,450,92,35,92,67,51,74,53,53,92,23,74,65,54,79,20,36,40,1,62,52,18,31
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,720,15,90,44,6,68,88,76,71,87,87,87,11,34,14,78,80,81,1,91,63,91,18
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,32,630,34,54,40,23,23,65,91,93,7,6,50,86,91,34,31,47,53,1,53,48,34,27
David de Gea,ESP,Fiorentina,Italian Serie A,GK,Goalkeeper,34,450,74,57,80,51,68,74,56,31,53,43,45,23,22,40,29,30,30,1,75,84,29,44
Dean Henderson,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,28,540,9,89,18,21,86,82,72,82,33,45,60,94,93,91,68,25,21,1,80,35,51,96
Diant Ramaj,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,24,450,87,20,80,92,82,19,85,91,96,66,98,91,92,70,88,58,48,1,43,36,85,89
Diogo Costa,POR,Porto,UEFA Europa League,GK,Goalkeeper,26,90,19,95,62,5,79,95,62,18,32,77,20,48,10,8,9,91,92,1,96,97,8,6
Dominik Greif,SVK,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,28,270,9,95,37,6,90,95,62,32,76,12,43,36,36,72,68,80,78,1,96,91,63,60
