Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Nicholas Hansen,DEN,Goalkeeper,Colorado Rapids,24,2001,10,10,900,59,52
Nicolas Schmid,AUT,Goalkeeper,Portsmouth,28,1997,5,5,385,77,71
Nordin Jackers,BEL,Goalkeeper,Club Brugge,28,1997,11,11,990,71,72
Novak Mićović,SRB,Goalkeeper,LA Galaxy,24,2001,20,20,1800,31,31
Orlando Gill,PAR,Goalkeeper,San Lorenzo,25,2000,28,28,2520,73,39
Ortwin De Wolf,BEL,Goalkeeper,Mechelen,28,1997,5,5,450,59,61
Oscar Garcia,MEX,Goalkeeper,León,22,2003,12,12,1080,47,26
Oscar Jiménez,MEX,Goalkeeper,León,37,1988,3,3,270,10,51
Pablo Sisniega,MEX,Goalkeeper,San Diego FC,30,1995,4,4,360,81,46
Patrick Schulte,USA,Goalkeeper,Columbus Crew,24,2001,25,25,2250,38,45
Patrick Sequeira,CRC,Goalkeeper,Casa Pia,26,1999,7,7,592,40,50
Paul Nardi,FRA,Goalkeeper,QPR,31,1994,8,8,720,69,51
Pedro Gallese,PER,Goalkeeper,Orlando City,35,1990,32,32,2880,44,33
Pierce Charles,NIR,Goalkeeper,Sheffield Weds,20,2005,2,2,180,28,75
Radek Vítek,0,Goalkeeper,Bristol City,22,2003,12,12,1080,76,39
Rafael Cabral,BRA,Goalkeeper,Real Salt Lake,35,1990,34,34,3060,40,47
Rafael Pires,BRA,Goalkeeper,São Paulo,36,1989,38,38,3450,68,20
Randall Rodríguez,URU,Goalkeeper,Vélez Sarsfield,21,2003,1,1,90,16,52
Remko Pasveer,NED,Goalkeeper,Ajax,41,1983,1,1,90,24,78
Renan Ribeiro,BRA,Goalkeeper,Estrela,35,1990,9,9,810,62,59
Ricardo Gutiérrez,MEX,Goalkeeper,Mazatlán,28,1997,15,15,1350,30,45
Rocco Ríos Novo,ARG,Goalkeeper,Inter Miami,23,2002,10,7,790,57,51
Rodolfo Cota,MEX,Goalkeeper,América,38,1987,2,2,180,47,56
Rodrigo Morínigo,PAR,Goalkeeper,Libertad,27,1998,5,5,450,79,54
Rodrigo Parra,MEX,Goalkeeper,UNAM,17,2007,2,2,180,8,46
Rodrigo Rey,ARG,Goalkeeper,Independiente,34,1991,29,29,2610,68,52
Rodrigo Saracho,ARG,Goalkeeper,San Antonio Bulo Bulo,31,1994,6,6,540,28,54
Roman Bürki,SUI,Goalkeeper,St. Louis,34,1990,25,25,2250,35,64
Roman Celentano,USA,Goalkeeper,FC Cincinnati,25,2000,30,30,2700,58,45
Rome-Jayden Owusu-Oduro,NED,Goalkeeper,AZ Alkmaar,21,2004,9,9,810,56,50
Ronald Koeman Jr.,NED,Goalkeeper,Telstar,30,1995,10,10,900,34,75
Ronaldo,BRA,Goalkeeper,Bahia,29,1996,22,22,1908,61,36
Ruan Carneiro,BRA,Goalkeeper,Juventude,35,1990,3,3,270,46,42
Rubén Cordano,BOL,Goalkeeper,Bolívar,27,1998,2,2,180,26,57
Rui Silva,POR,Goalkeeper,Sporting CP,31,1994,7,7,630,79,36
Ryan Allsop,ENG,Goalkeeper,Birmingham City,33,1992,8,8,720,38,44
Samuel Soares,POR,Goalkeeper,Benfica,23,2002,2,2,180,88,38
Santiago Mele,URU,Goalkeeper,Monterrey,28,1997,13,13,1170,35,29
Sean Johnson,USA,Goalkeeper,Toronto FC,36,1989,31,31,2790,55,40
Sebastian Breza,CAN,Goalkeeper,CF Montréal,27,1998,3,3,270,20,44
Sebastiano Desplanches,ITA,Goalkeeper,Pescara,22,2003,9,9,810,34,54
Sebastián Britos,URU,Goalkeeper,Universitario,37,1988,8,8,720,70,46
Sebastián Jurado,MEX,Goalkeeper,FC Juárez,28,1997,15,15,1350,27,29
Sebastián Meza,ARG,Goalkeeper,Huracán,25,2000,4,4,360,33,42
Senne Lammens,BEL,Goalkeeper,Antwerp,23,2002,4,4,360,63,84
Sergio Rochet,URU,Goalkeeper,Internacional,32,1993,13,13,1125,46,52
Sergio Romero,ARG,Goalkeeper,Arg Juniors,38,1987,1,1,90,50,48
