Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches
Felipe Zenobio,ARG,Goalkeeper,Tigre,25,2000,29,29,2610,23,94,71,11,3,2,0,1,26.7,120,346,509,97,186,442,29,11,1,-23.0,1
Fernando Miguel,BRA,Goalkeeper,Ceará,40,1985,8,7,657,7,33,26,3,2,2,0,0,8.7,38,116,168,25,59,148,9,9,0,-7.0,1
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39,1986,16,16,1470,15,66,52,6,1,1,0,0,17.0,75,196,411,96,108,233,26,19,0,-15.0,2
Fernando de Paul,CHI,Goalkeeper,Colo-Colo,34,1991,1,1,90,0,4,4,1,0,0,0,0,0.2,3,6,21,9,4,9,0,0,0,0.0,1
Filip Stankovic,SRB,Goalkeeper,Venezia,23,2002,9,9,810,9,37,28,4,0,0,0,0,10.5,48,124,401,45,25,135,7,10,0,-9.0,1
Francesco Bardi,ITA,Goalkeeper,Palermo,33,1992,1,1,90,1,3,2,0,0,0,0,0,0.2,2,6,16,4,3,17,0,0,0,-1.0,1
Franco Armani,ARG,Goalkeeper,River Plate,39,1986,37,37,3360,30,122,93,17,1,1,0,0,33.599999999999994,121,306,629,181,251,378,15,37,0,-30.0,2
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27,1998,29,29,2610,34,107,74,11,4,3,1,0,34.8,230,514,826,127,177,418,40,33,1,-34.0,1
Fábio,BRA,Goalkeeper,Fluminense,45,1980,29,29,2610,35,99,64,10,1,0,1,0,31.7,62,182,463,112,180,358,24,15,1,-35.0,1
Gabriel,BRA,Goalkeeper,Vitória,33,1992,18,18,1620,28,98,70,3,3,3,0,0,28.5,76,234,396,70,119,245,11,32,0,-28.0,2
Gabriel Arias,CHI,Goalkeeper,Racing Club,38,1987,26,26,2273,25,93,67,9,3,2,1,0,26.299999999999997,107,326,564,87,197,300,12,35,1,-25.0,2
Gabriel Batista,BRA,Goalkeeper,Santa Clara,27,1998,9,9,810,10,33,22,3,1,0,1,0,10.4,41,123,199,44,69,121,8,3,1,-10.0,1
Gabriel Brazão,BRA,Goalkeeper,Santos,25,2000,29,29,2587,42,129,88,6,5,5,0,0,39.0,96,257,459,84,192,398,7,22,0,-42.0,1
Gabriel Castellón,CHI,Goalkeeper,U de Chile,32,1993,6,6,540,6,23,17,2,1,1,0,0,6.1,22,55,106,19,36,83,2,6,0,-6.0,1
Gabriel Chapecó,BRA,Goalkeeper,Grêmio,25,2000,5,5,450,7,27,20,1,1,1,0,0,8.9,24,67,88,19,48,99,7,4,0,-7.0,1
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23,2002,2,2,180,2,7,5,1,0,0,0,0,1.1,7,22,57,6,10,20,3,8,0,-2.0,1
Gastón Olveira,URU,Goalkeeper,Olimpia,32,1993,3,3,270,4,13,9,1,0,0,0,0,2.8,15,39,64,5,20,35,0,1,0,-4.0,1
Gatito Fernández,PAR,Goalkeeper,Cerro Porteño,37,1988,3,3,270,5,15,10,0,0,0,0,0,5.3,13,31,56,11,27,39,1,5,0,-5.0,1
Gavin Bazunu,IRL,Goalkeeper,Southampton,23,2002,6,6,540,9,16,8,1,1,1,0,0,5.8,15,67,167,32,47,80,2,7,0,-9.0,1
Gaëtan Coucke,BEL,Goalkeeper,Sampdoria,26,1998,2,2,180,3,5,2,0,0,0,0,0,3.0,8,21,29,5,16,21,0,0,0,-3.0,1
Giacomo Poluzzi,ITA,Goalkeeper,Südtirol,37,1988,2,2,180,2,9,7,0,0,0,0,0,3.1,13,34,33,0,12,27,2,3,0,-2.0,1
Gonzalo Crettaz,ARG,Goalkeeper,NEC Nijmegen,25,2000,10,10,900,19,49,30,2,3,3,0,0,18.9,76,255,476,48,38,107,3,34,0,-19.0,1
Gonzalo Siri Payer,ARG,Goalkeeper,Arg Juniors,22,2003,1,0,45,1,2,1,0,0,0,0,0,0.3,2,4,7,1,8,6,0,0,0,-1.0,1
