Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area
Jimmy Maurer,USA,Goalkeeper,Houston Dynamo,37,1988,2,1,120,1,5,4,0,0,0,0,0,0.8,6,20,36,4,6,16,1,1
John McCarthy,USA,Goalkeeper,NY Red Bulls,33,1992,1,1,90,3,6,3,0,0,0,0,0,2.4,3,14,26,5,5,9,0,3
John McCarthy,USA,Goalkeeper,LA Galaxy,33,1992,11,11,990,26,56,31,0,4,3,1,0,20.7,27,123,245,46,54,135,8,9
Novak Mićović,SRB,Goalkeeper,LA Galaxy,24,2001,20,20,1800,37,99,63,2,0,0,0,0,34.7,37,197,502,72,111,247,25,5
David Ochoa,USA,Goalkeeper,LAFC,24,2001,1,1,90,1,1,0,0,0,0,0,0,0.9,0,1,18,7,5,13,0,0
Javier Otero,VEN,Goalkeeper,Orlando City,22,2002,2,2,180,2,7,5,0,1,1,0,0,2.6,5,9,32,10,11,39,4,1
Maarten Paes,IDN,Goalkeeper,FC Dallas,27,1998,22,22,1980,43,105,62,3,7,7,0,0,40.8,121,280,546,89,144,370,18,31
James Pantemis,CAN,Goalkeeper,Portland Timbers,28,1997,19,19,1710,26,95,67,4,6,3,3,0,25.9,94,217,618,74,131,288,12,24
John Pulskamp,USA,Goalkeeper,Sporting KC,24,2001,34,34,3060,70,187,118,4,9,7,1,1,60.1,142,493,715,128,262,409,20,29
Andrew Rick,USA,Goalkeeper,Philadelphia Union,19,2006,14,13,1233,18,41,23,6,3,3,0,0,16.9,76,220,245,32,106,147,3,10
Rocco Ríos Novo,ARG,Goalkeeper,Inter Miami,23,2002,10,7,790,9,30,21,3,0,0,0,0,11.1,28,49,294,39,37,95,3,10
Tomas Romero,SLV,Goalkeeper,NYCFC,24,2000,4,3,294,2,11,10,1,0,0,0,0,3.3,6,20,80,12,23,49,3,1
Patrick Schulte,USA,Goalkeeper,Columbus Crew,24,2001,25,25,2250,36,98,63,3,2,2,0,0,36.6,57,200,812,118,124,222,8,52
Jonathan Sirois,CAN,Goalkeeper,CF Montréal,24,2001,23,23,2070,39,113,74,4,0,0,0,0,34.9,80,218,804,100,97,213,16,28
Pablo Sisniega,MEX,Goalkeeper,San Diego FC,30,1995,4,4,360,3,13,11,1,1,1,0,0,3.7,3,12,127,28,10,30,6,8
Alec Smir,USA,Goalkeeper,Minnesota Utd,26,1999,2,1,161,3,9,6,0,0,0,0,0,3.0,10,38,40,3,11,32,0,2
Wessel Speel,NED,Goalkeeper,Minnesota Utd,24,2001,3,3,199,6,10,4,0,1,1,0,0,5.4,11,41,56,1,20,31,1,0
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28,1997,30,30,2700,30,139,111,10,4,2,1,1,36.7,163,522,811,94,194,548,18,17
Zack Steffen,USA,Goalkeeper,Colorado Rapids,30,1995,23,23,2070,39,130,92,4,0,0,0,0,42.0,103,315,544,114,172,362,15,28
Brad Stuver,USA,Goalkeeper,Austin,34,1991,34,34,3060,45,171,127,9,6,5,1,0,46.9,172,516,1050,161,249,514,28,28
Yohei Takaoka,JPN,Goalkeeper,Vancouver W'caps,29,1996,34,34,3060,38,122,83,13,5,4,1,0,37.0,108,318,1040,120,183,410,24,61
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,32,1993,4,4,306,7,15,8,1,0,0,0,0,6.1,12,33,84,15,13,31,1,4
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,27,1998,8,8,720,17,45,29,1,4,4,0,0,14.9,11,55,147,42,51,106,9,2
Matt Turner,USA,Goalkeeper,NE Revolution,31,1994,10,10,900,16,52,37,2,0,0,0,0,18.7,62,168,289,59,83,121,17,10
Óscar Ustari,ARG,Goalkeeper,Inter Miami,39,1986,25,25,2082,41,116,76,3,1,1,0,0,35.8,90,171,776,126,111,253,9,53
Joe Willis,USA,Goalkeeper,Nashville SC,37,1988,34,34,3060,45,136,90,9,5,3,2,0,44.9,100,281,958,172,178,399,29,20
Vasilios Barkas,GRE,Goalkeeper,Utrecht,31,1994,9,9,765,12,38,25,2,1,0,1,0,13.6,37,106,277,36,53,86,7,9
Daniel Bielica,POL,Goalkeeper,NAC Breda,26,1999,9,9,810,16,54,38,0,2,2,0,0,16.2,69,165,267,32,57,106,2,19
Mattijs Branderhorst,NED,Goalkeeper,Fortuna Sittard,31,1993,10,10,900,15,54,40,2,1,1,0,0,16.6,81,257,299,24,65,160,14,11
Michael Brouwer,NED,Goalkeeper,Utrecht,32,1993,2,1,135,3,7,4,0,1,1,0,0,3.0,12,28,51,10,8,9,0,5
Gonzalo Crettaz,ARG,Goalkeeper,NEC Nijmegen,25,2000,10,10,900,19,49,30,2,3,3,0,0,18.9,76,255,476,48,38,107,3,34
Jari De Busser,BEL,Goalkeeper,Go Ahead Eag,26,1999,10,10,900,16,56,41,3,0,0,0,0,17.1,47,162,382,39,48,173,7,17
Joel Drommel,NED,Goalkeeper,Sparta R'dam,28,1996,10,10,900,22,59,36,4,1,0,1,0,19.4,104,241,388,52,70,205,8,10
Stijn van Gassel,NED,Goalkeeper,Excelsior,29,1996,8,8,659,9,45,36,2,1,1,0,0,10.9,81,227,284,27,72,123,5,14
Tom de Graaff,NED,Goalkeeper,Zwolle,20,2004,8,8,720,15,51,36,2,0,0,0,0,14.9,40,125,218,44,75,144,7,2
Tijmen Holla,0,Goalkeeper,Excelsior,0,0,1,0,61,4,7,3,0,1,1,0,0,3.8,12,26,39,3,4,7,1,2
Timo Jansink,NED,Goalkeeper,Heracles Almelo,22,2003,2,2,180,10,19,9,0,0,0,0,0,7.5,20,45,65,4,7,34,1,0
Vitezslav Jaros,CZE,Goalkeeper,Ajax,24,2001,9,9,810,12,38,26,2,3,3,0,0,12.5,42,102,336,49,34,117,4,6
Hidde Jurjus,NED,Goalkeeper,Groningen,31,1994,3,3,270,9,17,9,0,1,1,0,0,6.0,16,58,104,11,11,34,2,4
Fabian de Keijzer,NED,Goalkeeper,Heracles Almelo,25,2000,8,8,720,20,56,36,1,0,0,0,0,19.2,76,214,285,17,50,134,6,7
Bernt Klaverboer,NED,Goalkeeper,Heerenveen,20,2005,6,6,540,11,27,16,0,0,0,0,0,9.4,30,114,215,25,26,89,7,5
Ronald Koeman Jr.,NED,Goalkeeper,Telstar,30,1995,10,10,900,19,58,39,1,2,2,0,0,21.2,86,207,405,35,43,153,7,15
Matej Kovar,CZE,Goalkeeper,PSV Eindhoven,25,2000,10,10,900,14,43,29,2,2,1,0,1,12.9,54,142,408,41,49,125,13,15
Kostas Lamprou,GRE,Goalkeeper,NAC Breda,34,1991,1,1,90,3,4,2,0,0,0,0,0,2.1,17,32,37,3,10,11,0,4
Andries Noppert,NED,Goalkeeper,Heerenveen,31,1994,4,4,360,7,18,11,0,0,0,0,0,4.4,21,62,147,22,16,47,7,8
Kayne van Oevelen,NED,Goalkeeper,Volendam,22,2003,10,10,900,16,53,37,1,0,0,0,0,14.7,59,250,352,41,87,162,10,11
Rome-Jayden Owusu-Oduro,NED,Goalkeeper,AZ Alkmaar,21,2004,9,9,810,12,39,27,2,2,1,0,1,10.9,33,118,258,37,38,120,10,15
