Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
Laurent Henkinet,BEL,Goalkeeper,Standard Liège,,1992,1,1,90,6,9,3,0,1,1,0,0,5.0,0,5,30,7,2,8,0,2,0,-1.0
Lautaro Bursich,ARG,Goalkeeper,Cen. Córdoba–SdE,,2002,1,1,90,2,4,2,0,0,0,0,0,1.0,5,15,12,5,14,7,0,0,0,-1.0
Lautaro Garzón,ARG,Goalkeeper,Vélez Sarsfield,,2003,1,0,39,1,2,1,0,0,0,0,0,0.6,0,1,7,2,2,6,1,0,0,-0.4
Lautaro Morales,ARG,Goalkeeper,Talleres,,1999,1,1,90,1,2,1,0,0,0,0,0,0.1,1,5,22,3,2,3,0,0,0,-0.9
Leandro Brey,ARG,Goalkeeper,Boca Juniors,,2002,12,11,999,8,45,36,6,3,2,1,0,12.2,28,107,226,51,77,161,10,8,1,4.199999999999999
Leandro Chichizola,ARG,Goalkeeper,Parma,,1990,37,36,3252,33,106,73,13,2,1,0,1,34.5,230,686,1223,184,209,580,54,50,1,1.5
Leandro Requena,ARG,Goalkeeper,cl Cobresal,,1987,5,5,450,9,30,21,0,1,1,0,0,10.0,35,84,92,20,53,77,4,1,0,1.0
Lee Nicholls,ENG,Goalkeeper,Huddersfield,,1992,37,37,3305,64,162,100,7,3,3,0,0,58.8,219,679,941,185,286,512,23,37,0,-5.200000000000003
Leonardo Linck,BRA,Goalkeeper,Ath Paranaense,,2001,14,14,1223,21,65,44,1,0,0,0,0,18.5,62,145,276,55,78,200,10,10,0,-2.5
Leonardo Loria,ITA,Goalkeeper,Pisa,,1999,7,7,630,12,26,14,2,1,1,0,0,10.5,21,54,176,30,27,93,7,5,0,-1.5
Leonardo Marson,ITA,Goalkeeper,Cosenza,,1998,2,1,124,1,6,5,1,1,1,0,0,2.0,5,23,38,4,14,37,1,1,0,1.0
Leopold Wahlstedt,SWE,Goalkeeper,Blackburn,,1999,21,20,1829,36,106,71,3,2,1,0,1,31.7,39,166,642,128,178,285,18,24,1,-4.300000000000001
