Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Guillermo Ochoa,MEX,Salernitana,Italian Serie A,GK,Goalkeeper,38,1890,5.48,2.1,3.43,1.77,-0.33,0.05,4.05,15.38,22.81,3.48,854.6,8.14,361.48,16.29,0.43,0.52,11.5,1,62.59,26.33,2.64
Heinz Lindner,AUT,Union SG,UEFA Europa Conference League,GK,Goalkeeper,33,180,3.5,1.0,2.5,1.2,0.2,0.5,2.5,9.0,22.5,0.0,717.0,6.5,180.9,8.5,0.0,0.5,8.0,1,71.43,27.78,0.0
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa Conference League,GK,Goalkeeper,30,180,5.5,1.0,4.5,1.75,0.75,0.5,2.0,9.0,40.0,4.0,1102.8,6.0,158.6,16.0,1.5,1.5,34.1,1,81.82,22.22,9.38
Ionuț Radu,ROU,Bournemouth,English Premier League,GK,Goalkeeper,26,180,5.5,3.5,2.0,1.45,-2.05,0.0,2.5,7.5,28.5,5.0,768.6,5.5,160.5,9.5,1.0,0.0,0.0,1,36.36,33.33,10.53
Itamar Nitzan,ISR,Maccabi Haifa,UEFA Europa League,GK,Goalkeeper,36,90,11.0,3.0,8.0,2.9,-0.1,0.0,4.0,16.0,40.0,9.0,1376.0,5.0,141.0,19.0,0.0,1.0,14.8,1,72.73,25.0,0.0
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa Conference League,GK,Goalkeeper,25,630,2.86,1.43,1.57,1.36,-0.07,0.29,5.29,14.43,36.29,3.29,1171.13,8.43,397.83,13.29,0.86,1.0,17.51,1,54.9,36.66,6.47
Ivan Provedel,ITA,Lazio,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,30,3419,3.95,1.13,2.82,1.08,-0.05,0.32,3.13,7.82,27.53,3.53,829.15,5.66,204.15,12.24,0.47,0.66,14.51,1,71.39,40.03,3.84
Ivo Grbić,CRO,Sheffield Utd,English Premier League,GK,Goalkeeper,28,771,6.89,2.92,4.2,1.69,-1.23,0.0,7.59,23.23,24.16,2.92,996.97,10.39,617.11,22.53,1.28,1.63,33.75,1,60.96,32.67,5.68
Iván Cuéllar,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,39,90,6.0,1.0,5.0,1.2,0.2,0.0,1.0,11.0,32.0,8.0,1056.0,3.0,107.1,6.0,1.0,0.0,0.0,1,83.33,9.09,16.67
Iván Villar,ESP,Celta Vigo,Spanish La Liga,GK,Goalkeeper,26,1014,3.91,1.6,2.31,1.45,-0.18,0.0,3.46,12.25,19.79,4.26,680.64,8.7,397.19,12.07,0.44,0.8,13.47,1,59.08,28.24,3.65
