Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Steve Mandanda,FRA,Rennes,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,39,3690,41,57,48,33,38,52,38,38,54,52,42,32,44,40,70,49,57,1,62,37,72
Stole Dimitrievski,MKD,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,30,3330,36,63,42,37,59,78,54,72,28,59,58,63,70,61,41,54,50,1,61,19,36
Sven Ulreich,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,35,1260,10,67,10,34,66,67,19,17,71,74,40,18,9,17,27,68,76,1,24,41,34
Thibaut Courtois,BEL,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,422,26,97,79,10,95,95,12,3,39,92,12,14,10,50,42,57,50,1,98,91,42
Thomas Kaminski,BEL,Luton Town,English Premier League,GK,Goalkeeper,31,3405,80,15,76,84,34,29,85,88,55,39,78,85,83,67,26,90,92,1,34,41,23
Thomas Strakosha,ALB,Brentford,English Premier League,GK,Goalkeeper,28,135,71,60,83,18,22,93,90,85,87,21,90,90,79,98,88,34,23,1,84,73,49
Timon Wellenreuther,GER,Feyenoord,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,28,360,13,65,13,18,31,60,33,42,93,90,84,19,17,27,33,85,84,1,27,23,36
Tobias Lawal,AUT,LASK,UEFA Europa League,GK,Goalkeeper,23,540,56,23,36,83,67,41,36,58,12,15,15,92,89,43,22,77,66,1,17,15,20
Tommaso Martinelli,ITA,Fiorentina,Italian Serie A,GK,Goalkeeper,18,90,8,23,5,50,11,14,44,61,90,15,86,85,59,56,6,6,6,1,3,16,6
Tomáš Koubek,CZE,Augsburg,German Bundesliga,GK,Goalkeeper,31,270,95,10,95,89,16,14,68,51,24,6,32,74,75,33,44,34,31,1,52,72,50
Unai Marrero,ESP,Real Sociedad,Spanish La Liga,GK,Goalkeeper,22,142,12,30,6,77,51,14,81,70,18,18,35,23,66,85,42,93,93,1,4,73,29
Unai Simón,ESP,Athletic Club,Spanish La Liga,GK,Goalkeeper,26,3182,16,84,32,23,77,85,79,82,44,44,69,56,81,40,59,69,70,1,79,34,64
Vanja Milinković-Savić,SRB,Torino,Italian Serie A,GK,Goalkeeper,27,3240,22,87,45,14,73,89,86,89,81,63,91,53,85,26,76,54,55,1,87,41,84
Vaná,BRA,Aris Limassol FC,UEFA Europa League,GK,Goalkeeper,32,540,90,18,90,91,83,14,29,75,74,95,88,29,46,63,81,61,53,1,42,6,74
Veljko Ilic,SRB,TSC,UEFA Europa League,GK,Goalkeeper,20,450,85,5,59,91,6,14,19,24,69,58,47,65,25,89,70,29,41,1,11,23,52
Vicente Guaita,ESP,Celta Vigo,Spanish La Liga,GK,Goalkeeper,37,2403,49,54,56,57,68,52,65,51,10,73,19,72,73,78,57,53,52,1,60,67,49
Viktor Baier,CZE,Viktoria Plzeň,UEFA Europa Conference League,GK,Goalkeeper,18,270,2,97,9,2,81,96,62,59,40,10,48,29,52,65,70,70,70,1,98,43,63
Vincenzo Fiorillo,ITA,Salernitana,Italian Serie A,GK,Goalkeeper,34,360,88,23,90,77,39,14,82,92,2,9,24,96,97,93,70,15,14,1,59,20,46
Vitezslav Jaros,CZE,Sturm Graz,UEFA Europa Conference League,GK,Goalkeeper,22,360,69,65,83,71,93,60,22,42,18,90,19,31,47,44,49,51,55,1,85,13,53
Vito Mannone,ITA,Lille,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,36,361,23,90,48,36,94,94,15,15,56,33,42,1,4,17,33,86,84,1,91,29,44
Vladan Kovačević,BIH,Raków,UEFA Europa League,GK,Goalkeeper,25,540,79,40,86,87,92,41,47,60,61,26,44,91,86,68,33,96,95,1,71,20,26
Walter Benítez,ARG,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,31,720,42,43,33,46,30,33,46,33,43,22,28,46,39,23,14,37,43,1,27,66,13
Wes Foderingham,ENG,Sheffield Utd,English Premier League,GK,Goalkeeper,33,2649,91,9,89,91,27,28,84,87,38,24,69,84,87,78,64,75,67,1,36,37,54
Wladimiro Falcone,ITA,Lecce,Italian Serie A,GK,Goalkeeper,29,3420,52,55,57,45,49,44,44,48,18,47,25,52,42,53,36,26,25,1,57,28,31
Wojciech Szczęsny,POL,Juventus,Italian Serie A,GK,Goalkeeper,34,3150,10,87,20,9,54,84,49,26,19,37,18,21,32,78,47,27,24,1,78,86,40
Yann Sommer,SUI,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,35,3690,11,93,31,8,85,91,20,9,67,31,27,36,19,37,38,20,20,1,92,83,43
Yassine Bounou,MAR,Sevilla,Spanish La Liga,GK,Goalkeeper,32,90,8,23,5,25,5,14,77,71,21,41,35,59,80,10,6,6,6,1,3,62,6
Yehvann Diouf,SEN,Reims,French Ligue 1,GK,Goalkeeper,24,3060,35,56,35,36,42,57,36,31,72,78,61,17,21,73,79,72,63,1,41,49,67
Yuri Lodygin,RUS,Panathinaikos,UEFA Europa League,GK,Goalkeeper,33,90,32,23,13,69,26,14,44,35,33,71,63,2,3,1,6,96,96,1,9,54,6
Yvon Mvogo,SUI,Lorient,French Ligue 1,GK,Goalkeeper,29,3060,84,29,87,78,49,33,46,36,41,64,31,54,51,87,46,18,18,1,56,58,33
