Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Offensive Index,Passing Index,Possession Index,Defensive Index
Alexandre Brito,POR,Sporting CP,UEFA Champions League,CM,Midfielder,19,45,1,27,18,45,17
Alexandre Lacazette,FRA,Lyon,"French Ligue 1, UEFA Europa League",AM,Forward,33,2606,1,72,66,38,43
Alexandre Penetra,POR,AZ Alkmaar,UEFA Europa League,CB,Defender,23,983,1,28,22,14,50
Alexandru Băluță,ROU,FCSB,UEFA Europa League,AM,Forward,31,368,1,49,28,31,56
Alexandru Musi,ROU,FCSB,UEFA Europa League,LW,Forward,20,133,1,31,17,76,64
Alexandru Pantea,ROU,FCSB,UEFA Europa League,RB,Defender,21,45,1,33,39,49,65
Alexis Claude-Maurice,FRA,Augsburg,German Bundesliga,AM,Forward,26,2109,1,73,49,55,56
Alexis Mac Allister,ARG,Liverpool,"English Premier League, UEFA Champions League",DM,Midfielder,26,2965,1,85,86,57,57
Alexis Saelemaekers,BEL,"Milan, Roma","Italian Serie A, UEFA Europa League",LB,Defender,25,1734,1,98,87,92,57
Alexis Sánchez,CHI,Udinese,Italian Serie A,AM,Forward,36,437,1,27,44,28,47
Alexsandro Ribeiro,BRA,Lille,"French Ligue 1, UEFA Champions League",CB,Defender,25,3600,1,55,62,48,51
Alfie Dorrington,ENG,Tottenham,English Premier League,CB,Defender,19,14,1,31,17,9,3
Alfie Pond,ENG,Wolves,English Premier League,CB,Defender,20,1,1,31,17,9,3
Alfon,ESP,Celta Vigo,Spanish La Liga,LW,Forward,26,1371,1,76,53,87,35
Alfonso Espino,URU,Rayo Vallecano,Spanish La Liga,LB,Defender,33,833,1,47,72,70,70
Alfonso Pedraza,ESP,Villarreal,Spanish La Liga,LB,Defender,29,460,1,54,82,93,49
Alfred Duncan,GHA,Venezia,Italian Serie A,CM,Midfielder,32,804,1,42,61,52,39
Algassime Bah,GUI,APOEL,UEFA Europa Conference League,AM,Forward,22,62,1,22,16,41,52
Ali Abdi,TUN,Nice,"French Ligue 1, UEFA Europa League",WB,Midfielder,31,1529,1,85,67,75,69
Ali Al Hamadi,IRQ,Ipswich Town,English Premier League,AM,Forward,22,121,1,31,23,70,54
Ali Dembélé,FRA,Torino,Italian Serie A,RB,Defender,21,388,1,90,34,65,29
Ali Jasim,IRQ,Como,Italian Serie A,LB,Defender,20,10,1,50,33,61,50
Ali Maamar,MAR,Anderlecht,UEFA Europa League,LM,Midfielder,19,157,1,37,67,91,43
Alidu Seidu,GHA,Rennes,French Ligue 1,CB,Defender,24,803,1,39,61,82,52
Alieu Atlee Manneh,SWE,Djurgården,UEFA Europa Conference League,LB,Defender,18,27,1,31,20,9,17
Alieu Fadera,GAM,Como,Italian Serie A,LW,Forward,23,1644,1,44,59,76,67
Aliou Badara Baldé,GUI,Bochum,German Bundesliga,AM,Forward,21,91,1,35,64,49,31
Alistair Johnston,CAN,Celtic,UEFA Champions League,RB,Defender,26,836,1,55,63,61,52
Aljoscha Kemlein,GER,Union Berlin,German Bundesliga,CM,Midfielder,20,922,1,65,47,36,56
Aljoša Matko,SVN,NK Celje,UEFA Europa Conference League,AM,Midfielder,25,827,1,65,52,68,47
Allan Nyom,CMR,Getafe,Spanish La Liga,RB,Defender,37,887,1,83,57,47,28
Allan Saint-Maximin,FRA,Fenerbahçe,UEFA Europa League,LW,Forward,27,382,1,43,84,90,47
Almoatasem Al Musrati,LBY,"Beşiktaş, Monaco","French Ligue 1, UEFA Champions League, UEFA Europa League",CM,Midfielder,29,784,1,70,67,33,74
Almugera Kabar,GER,Dortmund,German Bundesliga,LB,Defender,18,137,1,48,79,74,39
Alois Confais,FRA,Le Havre,French Ligue 1,CM,Midfielder,28,3,1,27,13,6,5
Alpha Diounkou,SEN,AC Omonia,UEFA Europa Conference League,RB,Defender,23,695,1,46,68,85,48
Alphadjo Cissè,ITA,Hellas Verona,Italian Serie A,AM,Forward,18,9,1,61,29,14,39
Alphonso Davies,CAN,Bayern Munich,"German Bundesliga, UEFA Champions League",LB,Defender,24,2261,1,82,85,95,41
Alyaksandr Sachywka,BLR,Dinamo Minsk,UEFA Europa Conference League,CB,Defender,38,90,1,31,33,44,49
Alyaksey Hawrylovich,BLR,Dinamo Minsk,UEFA Europa Conference League,CB,Defender,34,410,1,59,32,24,54
Amad Diallo,CIV,Manchester Utd,"English Premier League, UEFA Europa League",RW,Forward,22,2465,1,79,78,88,62
Amadou Haidara,MLI,RB Leipzig,"German Bundesliga, UEFA Champions League",CM,Midfielder,27,1908,1,33,54,29,71
Amadou Koné,MLI,Reims,French Ligue 1,CM,Midfielder,20,1293,1,38,37,48,67
Amadou Onana,BEL,Aston Villa,"English Premier League, UEFA Champions League",DM,Midfielder,23,1815,1,71,39,51,58
Amady Camara,MLI,Sturm Graz,UEFA Champions League,AM,Forward,19,132,1,34,27,37,37
Amar Dedić,BIH,"Marseille, RB Salzburg","French Ligue 1, UEFA Champions League",RB,Defender,22,944,1,53,86,96,60
Amar Memić,BIH,Viktoria Plzeň,UEFA Europa League,WB,Midfielder,24,272,1,40,50,67,51
Amara Nallo,ENG,Liverpool,UEFA Champions League,CB,Defender,18,4,1,31,17,9,3
Amath,SEN,Valladolid,Spanish La Liga,RM,Forward,28,375,1,32,62,66,51
Ameen Al-Dakhil,BEL,Stuttgart,"German Bundesliga, UEFA Champions League",CB,Defender,23,527,1,29,43,18,55
Amidou Doumbouya,FRA,Nice,French Ligue 1,LB,Defender,17,46,1,31,19,49,46
Amin Chiakha,ALG,FC Copenhagen,UEFA Europa Conference League,AM,Forward,19,397,1,76,46,44,43
Amin Sarr,SWE,Hellas Verona,Italian Serie A,AM,Forward,24,1907,1,47,43,34,49
Amin-Elias Gröller,AUT,Rapid Wien,UEFA Europa Conference League,CB,Defender,20,46,1,31,33,80,50
Amine Adli,MAR,Leverkusen,"German Bundesliga, UEFA Champions League",AM,Forward,25,976,1,49,64,82,69
Amine El Ouazzani,MAR,Braga,UEFA Europa League,AM,Forward,23,408,1,35,34,19,45
Amine Gouiri,ALG,"Marseille, Rennes",French Ligue 1,AM,Forward,25,2085,1,84,64,52,41
Amine Harit,MAR,Marseille,French Ligue 1,AM,Forward,27,519,1,79,89,65,42
Amine Khammas,MAR,AC Omonia,UEFA Europa Conference League,LB,Defender,25,706,1,51,78,61,36
Amine Salama,FRA,Reims,French Ligue 1,AM,Forward,24,373,1,29,39,68,49
Amir Richardson,MAR,Fiorentina,"Italian Serie A, UEFA Europa Conference League",DM,Midfielder,23,1551,1,67,45,65,58
Amir Rrahmani,KVX,Napoli,Italian Serie A,CB,Defender,31,3406,1,48,57,42,59
Amos Pieper,GER,Werder Bremen,German Bundesliga,CB,Defender,27,1498,1,32,51,38,57
Anan Khalaili,ISR,Union SG,UEFA Europa League,WB,Midfielder,20,661,1,34,41,79,73
Anass Salah-Eddine,NED,"Roma, Twente","Italian Serie A, UEFA Europa League",LB,Defender,23,861,1,51,74,86,41
Anass Zaroury,MAR,Lens,French Ligue 1,LW,Forward,24,1405,1,61,82,69,56
Anastasios Bakasetas,GRE,Panathinaikos,UEFA Europa Conference League,AM,Midfielder,31,387,1,90,84,69,50
Anastasios Donis,GRE,APOEL,UEFA Europa Conference League,LM,Midfielder,28,325,1,91,57,80,34
Anastasios Douvikas,GRE,"Celta Vigo, Como","Italian Serie A, Spanish La Liga",AM,Forward,25,1280,1,51,40,35,45
Ander Barrenetxea,ESP,Real Sociedad,"Spanish La Liga, UEFA Europa League",LM,Midfielder,23,1751,1,86,75,89,48
Ander Guevara,ESP,Alavés,Spanish La Liga,DM,Midfielder,27,1947,1,32,43,33,60
Ander Herrera,ESP,Athletic Club,"Spanish La Liga, UEFA Europa League",DM,Midfielder,35,368,1,48,49,43,62
Anders Christiansen,DEN,Malmö,UEFA Europa League,AM,Forward,34,425,1,54,76,41,19
Anders Dreyer,DEN,Anderlecht,UEFA Europa League,RW,Forward,26,315,1,67,81,61,30
Anders Hagelskjær,DEN,Molde,UEFA Europa Conference League,CB,Defender,27,283,1,41,71,78,82
Anderson,BRA,Pafos FC,UEFA Europa Conference League,AM,Forward,27,252,1,59,53,37,33
Andoni Gorosabel,ESP,Athletic Club,"Spanish La Liga, UEFA Europa League",RB,Defender,28,1956,1,46,79,71,50
Andraž Šporar,SVN,Panathinaikos,UEFA Europa Conference League,AM,Forward,30,98,1,27,31,21,60
