Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
James Shea,ENG,Goalkeeper,Luton Town,0.0,1991,2,1,147,89,67
James Trafford,ENG,Goalkeeper,Burnley,0.0,2002,45,45,4050,77,43
Jamie Cumming,ENG,Goalkeeper,Oxford United,0.0,1999,45,45,4050,72,70
Jari De Busser,BEL,Goalkeeper,Go Ahead Eag,0.0,1999,16,16,1440,42,60
Jasper Schendelaar,NED,Goalkeeper,Zwolle,0.0,2000,30,30,2700,69,64
Javier Burrai,ECU,Goalkeeper,ar Talleres,34.0,1990,5,4,405,66,70
Javier Otero,VEN,Goalkeeper,Orlando City,22.0,2002,2,2,180,73,42
Jayden Hibbert,JAM,Goalkeeper,Atlanta Utd,20.0,2004,1,1,90,40,30
Jeffrey Gal,USA,Goalkeeper,Chicago Fire,32.0,1993,7,6,591,21,37
Jeroen Houwen,NED,Goalkeeper,RKC Waalwijk,0.0,1996,24,24,2160,35,77
Jeroen Zoet,NED,Goalkeeper,AZ Alkmaar,0.0,1991,6,6,540,34,56
Jesús Camargo,VEN,Goalkeeper,ve Dep Táchira,27.0,1997,6,6,540,52,46
Jesús Rodríguez,MEX,Goalkeeper,Puebla,0.0,1993,4,4,360,49,74
Jhonatan,BRA,Goalkeeper,Rio Ave,0.0,1991,8,8,720,38,50
Jimmy Maurer,USA,Goalkeeper,Houston Dynamo,36.0,1988,2,1,120,37,42
Jo Coppens,BEL,Goalkeeper,Sint-Truiden,0.0,1990,3,3,270,8,39
Joe Walsh,ENG,Goalkeeper,QPR,0.0,2002,1,1,90,85,60
Joe Wildsmith,ENG,Goalkeeper,West Brom,0.0,1995,10,10,900,48,63
Joe Willis,USA,Goalkeeper,Nashville SC,36.0,1988,25,25,2250,65,52
Joel Drommel,NED,Goalkeeper,PSV Eindhoven,0.0,1996,1,0,45,38,77
Joel Robles,ESP,Goalkeeper,Estoril,0.0,1990,29,29,2610,62,52
Joey Kesting,NED,Goalkeeper,RKC Waalwijk,0.0,2001,3,3,270,43,72
John,BRA,Goalkeeper,br Botafogo (RJ),29.0,1996,21,21,1890,74,53
John McCarthy,USA,Goalkeeper,LA Galaxy,33.0,1992,11,11,990,20,25
John Pulskamp,USA,Goalkeeper,Sporting KC,24.0,2001,24,24,2160,37,37
Jonas Wendlinger,AUT,Goalkeeper,Almere City,0.0,2000,1,0,10,47,58
Jonathan Bond,ENG,Goalkeeper,Watford,32.0,1993,25,24,2238,38,46
Jonathan Klinsmann,USA,Goalkeeper,Cesena,0.0,1997,27,27,2430,53,24
Jonathan Sirois,CAN,Goalkeeper,CF Montréal,24.0,2001,22,22,1980,34,55
Jordan Archer,SCO,Goalkeeper,Portsmouth,0.0,1993,2,1,150,76,41
Jorge Broun,ARG,Goalkeeper,Rosario Central,39.0,1986,17,17,1530,69,61
Jorge Carranza,ARG,Goalkeeper,Aldosivi,44.0,1981,15,15,1350,26,56
Jorge Hernández,MEX,Goalkeeper,Querétaro,0.0,1998,9,9,810,44,16
Josh Vickers,ENG,Goalkeeper,Derby County,0.0,1995,6,6,540,63,46
Joshua Griffiths,ENG,Goalkeeper,West Brom,0.0,2001,6,6,540,18,50
Josue Reinatti,ARG,Goalkeeper,Newell's OB,22.0,2003,2,2,180,72,64
José Antonio Rodríguez,MEX,Goalkeeper,Tijuana,0.0,1992,21,21,1880,41,76
José Contreras Verna,VEN,Goalkeeper,ec Barcelona,30.0,1994,5,5,396,85,24
José Corona,MEX,Goalkeeper,Tijuana,0.0,1981,11,10,910,63,49
José Eulogio,MEX,Goalkeeper,Pachuca,0.0,2004,2,2,180,7,43
José Rangel Aguilar,MEX,Goalkeeper,Guadalajara,0.0,2000,32,32,2879,60,63
José Santiago Hernández,MEX,Goalkeeper,Atlas,0.0,1997,3,3,270,28,33
João Gonçalves,POR,Goalkeeper,Boavista,0.0,2000,4,4,360,69,51
João Paulo Santos Costa,POR,Goalkeeper,Estrela,0.0,1996,14,14,1260,61,57
João Ricardo Riedi,BRA,Goalkeeper,br Fortaleza,36.0,1988,18,18,1620,80,52
João Valido,POR,Goalkeeper,Arouca,0.0,2000,5,5,450,46,49
Juan Cozzani,ARG,Goalkeeper,Platense,26.0,1998,19,19,1710,77,34
Juan Espínola,PAR,Goalkeeper,Belgrano,30.0,1994,12,12,1080,25,60
Juan González,URU,Goalkeeper,Atlé Tucumán,32.0,1993,6,6,540,58,61
Juan Zozaya,ARG,Goalkeeper,Cen. Córdoba–SdE,24.0,2001,2,2,180,63,30
Julien Devriendt,BEL,Goalkeeper,Dender,0.0,1998,4,3,315,21,46
Julio José González,MEX,Goalkeeper,UNAM,0.0,1991,19,19,1710,42,53
Justin Bijlow,NED,Goalkeeper,Feyenoord,0.0,1998,4,4,360,18,53
Kaique,BRA,Goalkeeper,Farense,0.0,2003,6,6,540,65,62
Karl Darlow,WAL,Goalkeeper,Leeds United,0.0,1990,7,7,630,50,44
Kevin Chamorro,CRC,Goalkeeper,Estoril,0.0,2000,4,4,360,74,16
Kevin Mier,COL,Goalkeeper,Cruz Azul,0.0,2000,33,33,2970,47,49
Kewin,BRA,Goalkeeper,Moreirense,0.0,1995,29,29,2610,40,62
Keylor Navas,CRC,Goalkeeper,Newell's OB,38.0,1986,14,14,1260,80,64
Kim Joonhong,KOR,Goalkeeper,D.C. United,22.0,2003,7,7,630,30,71
Koen Van Langendonck,BEL,Goalkeeper,Westerlo,0.0,1989,10,10,900,55,66
Kostas Lamprou,GRE,Goalkeeper,NAC Breda,0.0,1991,1,1,90,8,83
Kristijan Kahlina,CRO,Goalkeeper,Charlotte,33.0,1992,23,23,2070,50,47
Lars Unnerstall,GER,Goalkeeper,Twente,0.0,1990,31,31,2790,39,49
Laurent Henkinet,BEL,Goalkeeper,Standard Liège,0.0,1992,4,4,315,85,43
Lautaro Morales,ARG,Goalkeeper,Lanús,25.0,1999,1,1,90,37,30
Lawrence Vigouroux,CHI,Goalkeeper,Swansea City,0.0,1993,46,46,4140,48,73
Lazar Carević,MNE,Goalkeeper,Famalicão,0.0,1999,18,18,1620,66,47
Leandro Brey,ARG,Goalkeeper,Boca Juniors,22.0,2002,2,2,180,48,36
Leandro Chichizola,ARG,Goalkeeper,Spezia,0.0,1990,11,11,990,44,74
Leo Kokubo,JPN,Goalkeeper,Sint-Truiden,0.0,2001,27,27,2430,49,51
Leonardo Loria,ITA,Goalkeeper,Pisa,0.0,1999,1,1,90,9,23
Liam Roberts,ENG,Goalkeeper,Millwall,0.0,1994,2,1,91,84,23
Lorenzo Andrenacci,ITA,Goalkeeper,Brescia,0.0,1995,1,1,90,67,58
Luca Lezzerini,ITA,Goalkeeper,Brescia,0.0,1995,37,37,3330,53,60
Luca Maniero,ITA,Goalkeeper,Cittadella,0.0,1995,10,9,855,62,54
Luca Plogmann,GER,Goalkeeper,Go Ahead Eag,0.0,2000,18,18,1620,22,41
Lucas Acosta,ARG,Goalkeeper,Sarmiento,30.0,1995,19,19,1710,77,49
Lucas Arcanjo,BRA,Goalkeeper,Vitória,26.0,1998,16,16,1440,76,42
Lucas Bruera,ARG,Goalkeeper,ve Carabobo,27.0,1997,6,6,540,23,8
Lucas França,BRA,Goalkeeper,Nacional,0.0,1996,33,33,2925,62,46
Lucas Pirard,BEL,Goalkeeper,Kortrijk,0.0,1995,7,5,543,76,72
Lucas Verza,PAR,Goalkeeper,py Olimpia,24.0,2001,1,1,90,84,47
Lucão,BRA,Goalkeeper,RB Bragantino,24.0,2001,3,3,270,79,26
Luigi Sepe,ITA,Goalkeeper,Salernitana,0.0,1991,18,18,1575,54,36
Luis Barraza,USA,Goalkeeper,D.C. United,28.0,1996,18,18,1620,33,57
Luis Cárdenas,MEX,Goalkeeper,Monterrey,0.0,1993,10,10,900,38,64
Luis Ingolotti,ARG,Goalkeeper,Gimnasia–LP,25.0,2000,3,3,270,40,37
Luis Manuel García,MEX,Goalkeeper,Toluca,0.0,1992,5,5,450,23,37
Luis Mejía,PAN,Goalkeeper,uy Nacional,34.0,1991,6,6,540,61,9
Luis Ángel Malagón,MEX,Goalkeeper,América,0.0,1997,29,29,2565,37,44
Luiz Lúcio Reis Júnior,BRA,Goalkeeper,Famalicão,0.0,2001,1,1,90,83,92
Lukas Jensen,DEN,Goalkeeper,Millwall,0.0,1999,41,41,3689,56,31
Lukáš Horníček,CZE,Goalkeeper,Braga,0.0,2002,17,17,1530,72,52
Luuk Koopmans,NED,Goalkeeper,Fortuna Sittard,0.0,1993,6,6,540,23,54
