Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Shandon Baptiste,GRN,Midfielder,Luton Town,0.0,1998,16,7,717,74,66,44,52
Shandre Campbell,RSA,Forward,Club Brugge,0.0,2005,1,0,6,50,13,44,8
Shane Duffy,IRL,Defender,Norwich City,0.0,1992,45,45,4040,67,43,30,37
Shaq Moore,USA,Midfielder,FC Dallas,28.0,1996,23,21,1934,62,53,72,61
Shaun Hutchinson,ENG,Defender,Millwall,0.0,1990,9,4,396,36,27,27,74
Shawn Adewoye,BEL,Defender,Fortuna Sittard,0.0,2000,24,20,1748,50,44,35,58
Shea Charles,NIR,Midfielder,Sheffield Weds,0.0,2003,43,42,3631,60,69,56,70
Sherel Floranus,CUW,Defender,Almere City,0.0,1998,24,23,1938,42,58,56,60
Sherman Cárdenas,COL,Forward,co CA Bucaramanga,35.0,1989,1,0,23,56,67,63,8
Sheyko Studer,ARG,Defender,Ind. Rivadavia,22.0,2002,18,18,1580,57,18,24,55
Shiloh ’t Zand,NED,Forward,Heracles Almelo,0.0,2003,19,12,1052,43,57,30,63
Shogo Taniguchi,JPN,Defender,Sint-Truiden,0.0,1991,13,12,948,58,70,37,48
Show,ANG,Midfielder,FC Dallas,26.0,1999,6,4,304,33,33,45,40
Shunsuke Mito,JPN,Forward,Sparta R'dam,0.0,2002,30,18,1489,61,41,70,72
Shurandy Sambo,NED,Midfielder,Burnley,0.0,2001,1,0,19,42,11,67,20
Sidnei Tavares,0,Midfielder,Moreirense,0.0,2001,29,15,1296,54,40,41,50
Sidney,BRA,Defender,Santa Clara,0.0,1997,31,26,2386,75,60,51,59
Sidoine Fogning,CMR,Defender,Boavista,0.0,2001,13,13,1170,32,32,26,69
Siebe Horemans,BEL,Defender,Utrecht,0.0,1998,29,26,2362,79,82,64,76
Siebe Schrijvers,BEL,Midfielder,OH Leuven,0.0,1996,28,22,1819,69,73,65,69
Sigurd Rosted,NOR,Defender,Toronto FC,31.0,1994,22,19,1770,58,46,30,44
Sikou Niakaté,MLI,Defender,Braga,0.0,1999,24,22,1961,60,64,46,41
Silas Andersen,DEN,Midfielder,Utrecht,0.0,2004,1,0,1,28,15,7,29
Silvester van der Water,NED,Forward,RKC Waalwijk,0.0,1996,17,9,626,60,31,49,44
Silvio Merkaj,ALB,Forward,Südtirol,0.0,1997,35,22,2061,55,39,49,43
Silvio Romero,ARG,Forward,Instituto,37.0,1988,8,0,112,21,18,10,54
Silvio Ulariaga,ARG,Midfielder,Godoy Cruz,23.0,2002,1,0,5,42,10,44,6
Simen Juklerød,NOR,Forward,Sint-Truiden,0.0,1994,5,1,98,28,51,55,62
Simeon Nwankwo,NGA,Forward,Salernitana,0.0,1992,23,11,1184,68,44,22,37
Simion Michez,BEL,Midfielder,Beerschot,0.0,2002,6,6,483,66,36,75,68
Simon Banza,COD,Forward,Braga,0.0,1996,1,0,21,36,34,16,8
Simon Becher,USA,Forward,St. Louis,26.0,1999,24,10,1083,53,32,50,55
Simon Elisor,FRA,Forward,Famalicão,0.0,1999,15,6,597,66,32,47,38
Simon Garcia,COL,Midfielder,co Nacional,20.0,2005,1,0,4,28,15,7,29
Simon Graves Jensen,DEN,Defender,Zwolle,0.0,1999,27,27,2314,27,56,40,39
Simon Mignolet,BEL,Goalkeeper,Club Brugge,0.0,1988,30,30,2669,55,56,61,70
Simon Moore,ENG,Goalkeeper,Sunderland,0.0,1990,4,4,360,40,37,45,36
Simon Olsson,SWE,Midfielder,Heerenveen,0.0,1997,12,9,787,71,69,60,27
Simone Bastoni,ITA,Midfielder,Cesena,0.0,1996,36,26,2162,78,63,52,46
Simone Branca,ITA,Midfielder,Cittadella,0.0,1992,21,18,1479,40,66,69,71
Simone Canestrelli,ITA,Defender,Pisa,0.0,2000,36,35,3086,62,55,45,40
Simone Davì,ITA,Defender,Südtirol,0.0,1999,26,17,1607,80,66,73,23
Simone Della Latta,ITA,Midfielder,Carrarese,0.0,1993,1,0,2,28,10,7,6
Simone Ghidotti,ITA,Goalkeeper,Sampdoria,0.0,2000,9,9,720,48,43,45,52
Simone Giordano,ITA,Forward,Sampdoria,0.0,2001,17,11,895,24,55,54,54
Simone Giorgeschi,ITA,Defender,Spezia,0.0,2004,2,0,16,29,27,46,27
Simone Leonardi,ITA,Forward,Sampdoria,0.0,2005,5,0,75,84,48,41,23
Simone Mazzocchi,ITA,Forward,Cosenza,0.0,1998,32,19,1821,44,36,31,38
Simone Pieraccini,ITA,Defender,Cesena,0.0,2004,8,2,211,33,31,29,29
Simone Pontisso,ITA,Midfielder,Catanzaro,0.0,1997,31,28,2035,80,81,77,22
Simone Rabbi,ITA,Forward,Cittadella,0.0,2001,35,20,1710,50,46,48,39
Simone Romagnoli,ITA,Defender,Sampdoria,0.0,1990,11,10,742,37,31,30,78
Simone Santoro,ITA,Midfielder,Modena,0.0,1999,34,33,2765,71,48,60,68
Simone Trimboli,ITA,Midfielder,Mantova,0.0,2002,35,34,3057,73,67,59,26
Simone Tronchin,ITA,Midfielder,Cittadella,0.0,2002,23,21,1502,71,53,51,68
Simone Verdi,ITA,Forward,Sassuolo,0.0,1992,9,2,262,79,76,54,56
Simone Zanon,ITA,Defender,Carrarese,0.0,2001,35,30,2363,76,66,76,50
Simão Bertelli,BRA,Goalkeeper,AVS Futebol,0.0,1993,11,11,990,51,45,45,43
Simón Rivero,ARG,Midfielder,Tigre,22.0,2003,1,0,28,28,31,24,57
Sinan Bolat,TUR,Goalkeeper,Westerlo,0.0,1988,11,11,990,46,41,45,53
Sinclair Armstrong,IRL,Forward,Bristol City,0.0,2003,36,17,1555,48,26,46,25
Siriki Dembélé,CIV,Forward,Oxford United,0.0,1996,25,15,1371,51,52,54,62
Siro Rosane,ARG,Midfielder,Barracas Central,25.0,2000,16,3,729,36,39,17,58
Sivert Mannsverk,NOR,Midfielder,Ajax,0.0,2002,16,14,1184,37,64,46,53
Sofiane Boufal,MAR,Midfielder,Union SG,0.0,1993,16,8,662,55,85,91,39
Sol Sidibé,FRA,Midfielder,Stoke City,0.0,2007,8,3,306,47,51,27,25
Solomon Brynn,ENG,Goalkeeper,Middlesbrough,0.0,2000,6,6,509,51,45,45,67
Sondre Langås,NOR,Defender,Derby County,0.0,2001,14,13,1118,27,26,20,50
Sondre Tronstad,NOR,Midfielder,Blackburn,0.0,1995,38,36,3130,60,46,32,75
Sonny Bradley,ENG,Defender,Derby County,0.0,1991,7,3,303,32,27,11,46
Sontje Hansen,NED,Forward,NEC Nijmegen,0.0,2002,31,23,1872,76,73,78,41
Sotiris Alexandropoulos,GRE,Midfielder,Standard Liège,0.0,2001,26,6,687,33,57,77,80
