Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Pau Cubarsí,J13,CB,Defender,Barcelona,Spanish La Liga,90.0,7.38,17,ESP
Jules Koundé,J13,RB,Defender,Barcelona,Spanish La Liga,83.0,6.4,25,FRA
Iglesias,J14,RB,Defender,Getafe,Spanish La Liga,36.0,6.5,26,ESP
Diego Rico,J14,LB,Defender,Getafe,Spanish La Liga,90.0,6.82,31,ESP
Omar Alderete,J14,CB,Defender,Getafe,Spanish La Liga,90.0,6.14,27,PAR
Djené,J14,CB,Defender,Getafe,Spanish La Liga,90.0,6.01,32,TOG
Allan Nyom,J14,RB,Defender,Getafe,Spanish La Liga,88.0,6.53,36,CMR
Lucas Oliveira Rosa,J14,LB,Defender,Valladolid,Spanish La Liga,90.0,6.48,24,BRA
Cenk Özkacar,J14,CB,Defender,Valladolid,Spanish La Liga,90.0,6.56,24,TUR
Javi Sánchez,J14,CB,Defender,Valladolid,Spanish La Liga,73.0,5.57,27,ESP
Juma Bah,J14,CB,Defender,Valladolid,Spanish La Liga,90.0,5.59,18,SLE
Luis Pérez,J14,RB,Defender,Valladolid,Spanish La Liga,90.0,6.38,29,ESP
Adam Masina,J2,CB,Defender,Torino,Italian Serie A,90.0,5.99,30,MAR
Saúl Coco,J2,CB,Defender,Torino,Italian Serie A,90.0,6.03,25,EQG
Adrien Tameze,J2,CB,Defender,Torino,Italian Serie A,66.0,5.4,30,CMR
Ali Dembélé,J2,CB,Defender,Torino,Italian Serie A,24.0,5.37,20,FRA
Marten de Roon,J2,CB,Defender,Atalanta,Italian Serie A,90.0,6.3,33,NED
Isak Hien,J2,CB,Defender,Atalanta,Italian Serie A,69.0,5.55,25,SWE
Berat Djimsiti,J2,CB,Defender,Atalanta,Italian Serie A,90.0,6.2,31,ALB
Sebastiano Luperto,J16,CB,Defender,Cagliari,Italian Serie A,90.0,6.12,28,ITA
Yerry Mina,J16,CB,Defender,Cagliari,Italian Serie A,90.0,7.02,30,COL
Gabriele Zappa,J16,CB,Defender,Cagliari,Italian Serie A,90.0,6.22,24,ITA
Sead Kolašinac,J16,CB,Defender,Atalanta,Italian Serie A,90.0,6.82,31,BIH
Isak Hien,J16,CB,Defender,Atalanta,Italian Serie A,45.0,5.93,25,SWE
Berat Djimsiti,J16,CB,Defender,Atalanta,Italian Serie A,45.0,6.43,31,ALB
Odilon Kossounou,J16,CB,Defender,Atalanta,Italian Serie A,90.0,6.09,23,CIV
José Luis Gayà,J14,LB,Defender,Valencia,Spanish La Liga,90.0,6.57,29,ESP
Yarek Gasiorowski,J14,CB,Defender,Valencia,Spanish La Liga,90.0,6.75,19,ESP
Cristhian Mosquera,J14,CB,Defender,Valencia,Spanish La Liga,90.0,6.65,20,ESP
César Tárrega,J14,CB,Defender,Valencia,Spanish La Liga,90.0,6.87,22,ESP
Dimitri Foulquier,J14,RB,Defender,Valencia,Spanish La Liga,90.0,6.48,31,FRA
Romain Perraud,J14,LB,Defender,Betis,Spanish La Liga,90.0,6.91,27,FRA
Natan,J14,CB,Defender,Betis,Spanish La Liga,90.0,6.73,23,BRA
Marc Bartra,J14,CB,Defender,Betis,Spanish La Liga,90.0,6.77,33,ESP
Youssouf Sabaly,J14,RB,Defender,Betis,Spanish La Liga,90.0,7.2,31,SEN
Javi Galán,J14,LB,Defender,Atlético Madrid,Spanish La Liga,45.0,6.43,30,ESP
Clément Lenglet,J14,CB,Defender,Atlético Madrid,Spanish La Liga,90.0,6.62,29,FRA
Axel Witsel,J14,CB,Defender,Atlético Madrid,Spanish La Liga,90.0,6.73,35,BEL
César Azpilicueta,J14,CB,Defender,Atlético Madrid,Spanish La Liga,90.0,6.88,35,ESP
Manu Sánchez,J14,LB,Defender,Alavés,Spanish La Liga,87.0,6.31,24,ESP
Santiago Mouriño,J14,CB,Defender,Alavés,Spanish La Liga,84.0,5.66,22,URU
Abdel Abqar,J14,CB,Defender,Alavés,Spanish La Liga,90.0,6.22,25,MAR
Nahuel Tenaglia,J14,RB,Defender,Alavés,Spanish La Liga,90.0,6.6,28,ARG
Álex Muñoz,J14,LB,Defender,Las Palmas,Spanish La Liga,60.0,5.99,30,ESP
