Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Maksym Diachuk,Dynamo Kyiv,UEFA Europa League,CB,Defender,UKR,21,6.36,90,1,6.36
Maksym Talovierov,LASK,UEFA Europa Conference League,CB,Defender,UKR,24,29.96,352,5,5.99
Malachi Boateng,Hearts,UEFA Europa Conference League,CM,Midfielder,ENG,22,29.78,352,5,5.96
Malamine Efekele,Cercle Brugge,UEFA Europa Conference League,WB,Midfielder,FRA,20,42.21,440,7,6.03
Malang Sarr,Lens,French Ligue 1,CB,Defender,FRA,26,130.51,1385,21,6.21
Malcolm Edjouma,FCSB,UEFA Europa League,AM,Midfielder,FRA,28,68.99,534,11,6.27
Malcolm Jeng,Reims,French Ligue 1,CB,Defender,SWE,20,17.86,107,3,5.95
Malick Fofana,Lyon,"French Ligue 1, UEFA Europa League",AM,Forward,BEL,20,255.56,2103,39,6.55
Malick Thiaw,Milan,"Italian Serie A, UEFA Champions League",CB,Defender,GER,23,173.18,2143,27,6.41
Malick Yalcouye,Sturm Graz,UEFA Champions League,AM,Forward,CIV,19,58.03,618,8,7.25
Malik Tillman,PSV Eindhoven,UEFA Champions League,LM,Midfielder,USA,22,44.7,533,6,7.45
Malo Gusto,Chelsea,"English Premier League, UEFA Europa Conference League",RB,Defender,FRA,22,248.27,2128,37,6.71
Mama Samba Baldé,"Brest, Lyon","French Ligue 1, UEFA Champions League",AM,Forward,GNB,29,245.56,1633,38,6.46
Mamadou Coulibaly,Monaco,French Ligue 1,RM,Midfielder,FRA,20,6.0,8,1,6.0
Mamadou Diakhon,Reims,French Ligue 1,AM,Forward,FRA,19,173.65,858,28,6.2
Mamadou Sangare,Rapid Wien,UEFA Europa Conference League,DM,Midfielder,MLI,22,58.07,712,9,6.45
Mamadou Sarr,Strasbourg,French Ligue 1,CB,Defender,FRA,19,172.97,2365,27,6.41
Mamadou Sylla,Valladolid,Spanish La Liga,AM,Forward,SEN,31,183.55,1583,29,6.33
Mamady Diambou,RB Salzburg,UEFA Champions League,CM,Midfielder,MLI,22,51.15,364,7,7.31
Mandela Keita,Parma,Italian Serie A,DM,Midfielder,BEL,23,186.28,1826,30,6.21
Manolis Saliakas,St. Pauli,German Bundesliga,RM,Midfielder,GRE,28,196.04,2314,30,6.53
Manu Bueno,Sevilla,Spanish La Liga,DM,Midfielder,ESP,20,56.3,140,9,6.26
Manu Koné,Roma,"Italian Serie A, UEFA Europa League",CM,Midfielder,FRA,24,284.88,3340,44,6.47
Manu Morlanes,Mallorca,Spanish La Liga,CM,Midfielder,ESP,26,154.21,1338,23,6.7
Manu Sánchez,Alavés,Spanish La Liga,LB,Defender,ESP,24,214.28,2634,33,6.49
Manuel Akanji,Manchester City,"English Premier League, UEFA Champions League",CB,Defender,SUI,29,229.24,2658,34,6.74
Manuel Fuster,Las Palmas,Spanish La Liga,AM,Forward,ESP,27,185.4,1003,28,6.62
Manuel Lazzari,Lazio,"Italian Serie A, UEFA Europa League",RB,Defender,ITA,31,194.95,1734,32,6.09
Manuel Locatelli,Juventus,"Italian Serie A, UEFA Champions League",DM,Midfielder,ITA,27,305.22,3492,45,6.78
Manuel Manu,Vitória,UEFA Europa Conference League,CM,Midfielder,POR,23,39.31,465,6,6.55
Manuel Nana Agyemang,Petrocub,UEFA Europa Conference League,CB,Defender,GHA,22,23.15,167,4,5.79
Manuel Pedreño,Olimpija,UEFA Europa Conference League,CB,Defender,ESP,24,28.61,316,5,5.72
Manuel Ugarte Ribeiro,Manchester Utd,"English Premier League, UEFA Europa League",CM,Midfielder,URU,24,259.09,2429,39,6.64
Marash Kumbulla,Espanyol,Spanish La Liga,CB,Defender,ALB,25,228.25,2972,35,6.52
Marat Bystrov,Astana FK,UEFA Europa Conference League,CB,Defender,KAZ,32,12.22,180,2,6.11
Marc Bartra,Betis,"Spanish La Liga, UEFA Europa Conference League",CB,Defender,ESP,34,227.83,2876,35,6.51
Marc Bernal,Barcelona,Spanish La Liga,DM,Midfielder,ESP,17,19.82,242,3,6.61
Marc Cardona,Las Palmas,Spanish La Liga,AM,Forward,ESP,29,67.79,132,11,6.16
Marc Casado,Barcelona,"Spanish La Liga, UEFA Champions League",CM,Midfielder,ESP,21,231.0,2244,33,7.0
Marc Cucurella,Chelsea,"English Premier League, UEFA Europa Conference League",LB,Defender,ESP,26,300.78,3549,45,6.68
Marc Domenech,Mallorca,Spanish La Liga,AM,Forward,ESP,19,61.68,303,10,6.17
Marc Gual,Legia Warsaw,UEFA Europa Conference League,AM,Forward,ESP,29,50.89,609,8,6.36
Marc Guiu,Chelsea,"English Premier League, UEFA Europa Conference League",AM,Forward,ESP,19,61.86,359,10,6.19
Marc Guéhi,Crystal Palace,English Premier League,CB,Defender,ENG,24,227.03,3059,34,6.68
Marc Roca,Betis,"Spanish La Liga, UEFA Europa Conference League",DM,Midfielder,ESP,28,106.51,1011,16,6.66
Marc-Oliver Kempf,Como,Italian Serie A,CB,Defender,GER,30,199.37,2615,31,6.43
Marcel Ratnik,Olimpija,UEFA Europa Conference League,CB,Defender,SVN,21,41.23,630,7,5.89
Marcel Sabitzer,Dortmund,"German Bundesliga, UEFA Champions League",CM,Midfielder,AUT,31,241.87,2458,37,6.54
Marcin Listkowski,Jagiellonia,UEFA Europa Conference League,LW,Forward,POL,26,21.89,78,4,5.47
Marco Asensio,"Aston Villa, Paris S-G","English Premier League, French Ligue 1, UEFA Champions League",AM,Forward,ESP,29,227.32,1625,33,6.89
Marco Brescianini,Atalanta,"Italian Serie A, UEFA Champions League",AM,Forward,ITA,25,223.15,1118,35,6.38
Marco Dulca,NK Celje,UEFA Europa Conference League,DM,Midfielder,ROU,25,46.16,300,8,5.77
Marco Friedl,Werder Bremen,German Bundesliga,CB,Defender,AUT,27,172.28,2161,26,6.63
Marco Grüll,Werder Bremen,German Bundesliga,AM,Forward,AUT,26,189.59,1181,30,6.32
Marco Komenda,Holstein Kiel,German Bundesliga,CB,Defender,CRO,28,116.79,1307,19,6.15
Marco Palestra,Atalanta,"Italian Serie A, UEFA Champions League",WB,Midfielder,ITA,20,75.47,288,12,6.29
Marco Sala,"Como, Lecce",Italian Serie A,LB,Defender,ITA,25,61.58,333,10,6.16
Marcos Alonso,Celta Vigo,Spanish La Liga,CB,Defender,ESP,34,215.25,2647,31,6.94
Marcos André,Valladolid,Spanish La Liga,AM,Forward,BRA,28,138.56,1188,22,6.3
Marcos Llorente,Atlético Madrid,"Spanish La Liga, UEFA Champions League",RB,Defender,ESP,30,286.81,3205,41,7.0
Marcos López,FC Copenhagen,UEFA Europa Conference League,LB,Defender,PER,25,38.15,416,6,6.36
Marcos Senesi,Bournemouth,English Premier League,CB,Defender,ARG,28,113.93,1106,17,6.7
Marcus Coco,Nantes,French Ligue 1,RB,Defender,FRA,28,124.96,951,20,6.25
Marcus Danielsson,Djurgården,UEFA Europa Conference League,CB,Defender,SWE,36,60.47,767,10,6.05
Marcus Edwards,Sporting CP,UEFA Champions League,AM,Forward,ENG,25,7.14,67,1,7.14
Marcus Harness,Ipswich Town,English Premier League,AM,Forward,ENG,28,12.52,45,2,6.26
Marcus Pedersen,Torino,Italian Serie A,WB,Midfielder,NOR,24,171.23,1362,29,5.9
Marcus Rashford,"Aston Villa, Manchester Utd","English Premier League, UEFA Champions League, UEFA Europa League",AM,Forward,ENG,27,233.38,2036,35,6.67
Marcus Tavernier,Bournemouth,English Premier League,DM,Forward,ENG,26,199.16,1939,29,6.87
